10.56.1.3 : [28], 84 bytes, 40.5 ms (40.7 avg, 0% loss)
10.56.1.5 : [28], 84 bytes, 1.23 ms (1.64 avg, 0% loss)
10.56.1.4 : [28], 84 bytes, 34.0 ms (32.9 avg, 0% loss)
10.56.1.1 : [29], 84 bytes, 15.0 ms (15.6 avg, 0% loss)
10.56.1.2 : [29], 84 bytes, 0.11 ms (0.10 avg, 0% loss)
10.56.1.3 : [29], 84 bytes, 36.4 ms (40.6 avg, 0% loss)
10.56.1.5 : [29], 84 bytes, 1.15 ms (1.63 avg, 0% loss)
10.56.1.4 : [29], 84 bytes, 32.5 ms (32.9 avg, 0% loss)
10.56.1.1 : [30], 84 bytes, 16.8 ms (15.6 avg, 0% loss)
10.56.1.2 : [30], 84 bytes, 0.14 ms (0.10 avg, 0% loss)
10.56.1.3 : [30], 84 bytes, 39.2 ms (40.5 avg, 0% loss)
10.56.1.5 : [30], 84 bytes, 1.33 ms (1.62 avg, 0% loss)
10.56.1.4 : [30], 84 bytes, 33.2 ms (32.9 avg, 0% loss)
10.56.1.1 : [31], 84 bytes, 14.5 ms (15.6 avg, 0% loss)
10.56.1.2 : [31], 84 bytes, 0.10 ms (0.10 avg, 0% loss)
10.56.1.5 : [31], 84 bytes, 1.36 ms (1.61 avg, 0% loss)
10.56.1.4 : [31], 84 bytes, 31.9 ms (32.9 avg, 0% loss)
10.56.1.3 : [31], 84 bytes, 60.6 ms (41.2 avg, 0% loss)
10.56.1.1 : [32], 84 bytes, 14.2 ms (15.6 avg, 0% loss)
10.56.1.2 : [32], 84 bytes, 0.12 ms (0.10 avg, 0% loss)
10.56.1.3 : [32], 84 bytes, 41.7 ms (41.2 avg, 0% loss)
10.56.1.5 : [32], 84 bytes, 1.20 ms (1.60 avg, 0% loss)
10.56.1.4 : [32], 84 bytes, 41.8 ms (33.1 avg, 0% loss)
10.56.1.1 : [33], 84 bytes, 17.1 ms (15.6 avg, 0% loss)
10.56.1.2 : [33], 84 bytes, 0.06 ms (0.10 avg, 0% loss)
10.56.1.3 : [33], 84 bytes, 48.1 ms (41.4 avg, 0% loss)
10.56.1.5 : [33], 84 bytes, 2.36 ms (1.62 avg, 0% loss)
10.56.1.4 : [33], 84 bytes, 33.7 ms (33.1 avg, 0% loss)
10.56.1.1 : [34], 84 bytes, 18.1 ms (15.7 avg, 0% loss)
10.56.1.2 : [34], 84 bytes, 0.14 ms (0.10 avg, 0% loss)
10.56.1.3 : [34], 84 bytes, 42.5 ms (41.4 avg, 0% loss)
10.56.1.5 : [34], 84 bytes, 1.56 ms (1.62 avg, 0% loss)
10.56.1.4 : [34], 84 bytes, 36.0 ms (33.2 avg, 0% loss)
10.56.1.1 : [35], 84 bytes, 15.8 ms (15.7 avg, 0% loss)
10.56.1.2 : [35], 84 bytes, 0.09 ms (0.10 avg, 0% loss)
10.56.1.3 : [35], 84 bytes, 40.1 ms (41.4 avg, 0% loss)
10.56.1.5 : [35], 84 bytes, 1.48 ms (1.61 avg, 0% loss)
10.56.1.4 : [35], 84 bytes, 35.2 ms (33.3 avg, 0% loss)
10.56.1.1 : [36], 84 bytes, 19.2 ms (15.8 avg, 0% loss)
